,id,popularity,title,vote_average,vote_count
368,489412,8.62,It's Such a Beautiful Day,8,248
369,501929,25.146,The Mitchells vs. the Machines,8,2387
370,414419,17.736,Kill Bill: The Whole Bloody Affair,8,875
371,15383,9.034,Army of Shadows,8,535
372,1580,12.592,Rope,8,2295
373,70,21.738,Million Dollar Baby,8,8625
374,10515,39.857,Castle in the Sky,8,3549
375,458302,11.699,"Remi, Nobody's Boy",8,376
376,234,11.743,The Cabinet of Dr. Caligari,8,1308
377,667520,51.416,A Whisker Away,8,1170
378,21334,11.865,Children of Heaven,8,518
379,41050,11.064,La Notte,8,564
380,775,15.24,A Trip to the Moon,8,1515
381,110,17.285,Three Colors: Red,8,1161
382,315620,5.851,Doctor Who: A Christmas Carol,8,206
383,3777,13.259,Throne of Blood,8,685
384,360814,13.271,Dangal,8,817
385,28971,10.467,Limelight,8,444
386,10404,13.08,Raise the Red Lantern,8,599
387,149,35.488,Akira,8,3530
388,632322,13.66,All My Life,8,412
389,438695,131.536,Sing 2,8,3667
390,405,10.549,La Strada,7.9,909
391,491480,29.272,The Boy Who Harnessed the Wind,7.9,1454
392,160885,5.725,Tel chi el telùn,7.9,305
393,10728,10.272,Faust,7.9,287
394,698508,34.849,Redeeming Love,7.9,246
395,523781,16.115,Words on Bathroom Walls,7.9,482
396,10242,12.05,What Ever Happened to Baby Jane?,7.9,903
397,76203,16.571,12 Years a Slave,7.9,10337
398,916224,167.697,Suzume,7.9,345
399,11010,10.219,The Postman,7.9,1024
400,14160,63.429,Up,7.9,18374
401,698201,20.674,Tokyo Revengers,7.9,212
402,158445,18.732,Miracle in Cell No. 7,7.9,374
403,20722,10.398,La Maison en Petits Cubes,7.9,394
404,745,29.041,The Sixth Sense,7.9,10417
405,5925,20.821,The Great Escape,7.9,2176
406,920394,10.979,My Father's Violin,7.9,312
407,698948,25.288,Thirteen Lives,7.9,967
408,455714,17.406,Bad Genius,7.9,696
409,142061,20.178,"Batman: The Dark Knight Returns, Part 2",7.9,1283
410,6977,33.869,No Country for Old Men,7.9,10615
411,9323,27.998,Ghost in the Shell,7.9,2852
412,329,23.139,Jurassic Park,7.9,14686
413,78,41.367,Blade Runner,7.9,12376
414,152532,19.493,Dallas Buyers Club,7.9,7825
415,81,30.062,Nausicaä of the Valley of the Wind,7.9,3040
416,610150,105.272,Dragon Ball Super: Super Hero,7.9,2388
417,522212,16.223,Just Mercy,7.9,1932
418,613868,9.537,Cousins,7.9,255
419,31411,9.637,The Cameraman,7.9,296
420,746957,8.683,You've Got This,7.9,271
421,197,39.256,Braveheart,7.9,9080
422,20875,9.483,Operation Y and Other Shurik's Adventures,7.9,246
423,37797,33.364,Whisper of the Heart,7.9,1656
424,721656,22.86,"Happy Halloween, Scooby-Doo!",7.9,205
425,20271,10.074,Divorce Italian Style,7.9,360
426,829,25.039,Chinatown,7.9,3301
427,150540,76.655,Inside Out,7.9,18994
428,8290,17.962,Don't Look Now... We're Being Shot At!,7.9,1157
429,1646,21.107,Freedom Writers,7.9,1953
430,662,11.256,La Jetée,7.9,755
431,33,27.385,Unforgiven,7.9,3799
432,527774,74.608,Raya and the Last Dragon,7.9,6013
433,69335,6.064,Estômago: A Gastronomic Story,7.9,219
434,85,40.38,Raiders of the Lost Ark,7.9,10931
435,10386,35.538,The Iron Giant,7.9,4923
436,615453,17.528,Ne Zha,7.9,337
437,579792,9.432,Cindy La Regia,7.9,226
438,679,53.364,Aliens,7.9,8430
439,570503,20.327,Tune in for Love,7.9,217
440,47796,10.798,Mamma Roma,7.9,350
441,2011,14.231,Persepolis,7.9,1700
442,244001,6.181,Bo Burnham: What.,7.9,202
443,20874,8.895,Kin-dza-dza!,7.9,200
444,7857,12.918,Amarcord,7.9,957
445,6715,9.902,The Cure,7.9,256
446,603692,980.426,John Wick: Chapter 4,7.9,1361
447,334533,20.462,Captain Fantastic,7.9,5874
448,316029,27.455,The Greatest Showman,7.9,8639
449,10674,68.382,Mulan,7.9,8670
450,552532,32.808,Charm City Kings,7.9,374
451,505262,36.351,My Hero Academia: Two Heroes,7.9,877
452,183011,38.475,Justice League: The Flashpoint Paradox,7.9,1607
453,296096,83.37,Me Before You,7.9,11105
454,3034,16.198,Young Frankenstein,7.9,2780
455,671,122.256,Harry Potter and the Philosopher's Stone,7.9,24715
456,843906,35.5,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,7.9,345
457,594634,13.959,Close to the Horizon,7.9,427
458,32085,6.917,Vincent,7.9,770
459,938008,57.127,The Killer,7.9,265
460,17295,9.522,The Battle of Algiers,7.9,609
461,3083,10.799,Mr. Smith Goes to Washington,7.9,883
462,223,12.023,Rebecca,7.9,1497
463,25364,12.26,Ace in the Hole,7.9,556
464,435129,15.15,The Breadwinner,7.9,716
465,122906,34.657,About Time,7.9,7543
466,803700,21.885,The Eight Mountains,7.9,251
467,7984,11.386,In the Name of the Father,7.9,1512
468,331482,28.281,Little Women,7.9,5456
469,118340,226.317,Guardians of the Galaxy,7.9,25890
470,1402,32.081,The Pursuit of Happyness,7.9,8912
471,194,26.432,Amélie,7.9,10474
472,354857,22.446,Regular Show: The Movie,7.9,317
473,585511,172.078,Luck,7.9,1256
474,3870,12.822,1900,7.9,540
475,937278,156.411,A Man Called Otto,7.9,1143
476,31442,13.344,Ivan's Childhood,7.9,595
477,949,49.274,Heat,7.9,6230
478,60243,11.192,A Separation,7.9,1502
479,752,30.483,V for Vendetta,7.9,13203
480,198,11.046,To Be or Not to Be,7.9,580
481,573164,28.591,An Egg Rescue,7.9,341
482,11830,11.875,Tampopo,7.9,277
483,548544,8.097,Invisible Life,7.9,263
484,24167,10.545,Two Women,7.9,463
485,556901,19.945,Teen Titans Go! vs. Teen Titans,7.9,412
486,210577,48.426,Gone Girl,7.9,16921
487,597,105.889,Titanic,7.9,22843
488,313369,27.912,La La Land,7.9,15217
489,13398,12.857,Tokyo Godfathers,7.9,1009
490,1892,29.432,Return of the Jedi,7.9,14178
491,712454,9.069,The Summit of the Gods,7.9,273
492,804,24.371,Roman Holiday,7.9,1742
493,369557,15.34,Sing Street,7.9,2063
494,579245,9.869,The Specials,7.9,776
495,10997,15.606,Farewell My Concubine,7.9,457
496,1394,11.378,Nostalgia,7.9,431
497,180147,16.091,We Are the Nobles,7.9,450
498,508943,75.403,Luca,7.9,7265
499,3078,11.804,It Happened One Night,7.9,1028
500,1162,10.376,The Miracle Worker,7.9,256
501,16,13.707,Dancer in the Dark,7.9,1556
502,11036,52.219,The Notebook,7.9,10310
503,827,11.411,Diabolique,7.9,799
504,503314,19.591,Dragon Ball Super: Broly,7.9,2621
505,393,23.118,Kill Bill: Vol. 2,7.9,12586
506,406785,10.195,Inner Workings,7.9,251
507,404378,14.979,A Street Cat Named Bob,7.9,1211
508,29455,8.556,Winter Light,7.9,366
509,3112,10.7,The Night of the Hunter,7.9,1306
510,801335,96.934,Girl in the Basement,7.9,497
511,776305,27.67,Belle,7.9,581
512,83564,8.251,La luna,7.9,719
513,301,20.574,Rio Bravo,7.9,955
514,379170,18.913,Sherlock: The Abominable Bride,7.9,2113
515,48035,7.956,Ordet,7.9,301
516,22596,10.968,Safety Last!,7.9,413
517,11293,9.108,Paper Moon,7.9,592
518,631,8.764,Sunrise: A Song of Two Humans,7.9,682
519,49964,11.605,Where Is My Friend's House?,7.9,269
520,25538,18.438,Yi Yi,7.9,430
521,833,7.482,Umberto D.,7.9,560
522,275,22.36,Fargo,7.9,7029
523,430424,11.71,See You Up There,7.9,1144
524,52629,66.426,El Infierno,7.9,531
525,43469,6.194,Shoeshine,7.9,208
526,381341,17.045,Perfect Strangers,7.9,4069
527,564427,4.439,Minha Vida em Marte,7.9,268
528,266856,24.036,The Theory of Everything,7.9,9884
529,56231,10.307,The Working Class Goes to Heaven,7.9,301
530,505192,16.999,Shoplifters,7.9,1759
531,152601,37.457,Her,7.9,13079
532,934,9.328,Rififi,7.9,461
533,665,41.688,Ben-Hur,7.9,2346
534,235,23.843,Stand by Me,7.9,5075
535,399174,15.524,Isle of Dogs,7.9,4255
536,16390,12.701,Scooby-Doo! and the Samurai Sword,7.9,230
537,12903,15.337,Scooby-Doo! and the Goblin King,7.9,219
538,593,22.45,Solaris,7.9,1356
539,391,25.635,A Fistful of Dollars,7.9,3641
540,726684,59.342,Miraculous World: Shanghai – The Legend of Ladydragon,7.9,530
541,726759,66.213,Tetris,7.9,557
542,265195,21.348,Wild Tales,7.9,2940
543,2440,11.228,Joint Security Area,7.9,563
544,1675,11.896,Day for Night,7.9,529
545,24238,12.751,Mary and Max,7.9,1697
546,445030,18.613,No Game No Life: Zero,7.9,318
547,45523,5.969,Louis C.K.: Hilarious,7.9,238
548,581,30.294,Dances with Wolves,7.9,3693
549,453,30.309,A Beautiful Mind,7.9,9218
550,546554,44.759,Knives Out,7.9,10671
551,398924,10.288,A Bag of Marbles,7.9,767
552,86000,9.617,Always,7.9,243
553,20873,8.366,The Diamond Arm,7.9,235
554,185789,7.972,Mulholland Dr.,7.9,420
555,10774,13.632,Network,7.9,1449
556,5511,13.595,Le Samouraï,7.9,852
557,5924,18.584,Papillon,7.8,1652
558,367412,6.696,Whiplash,7.8,301
559,293299,8.288,Feast,7.8,794
560,32480,5.715,The Marquis of Grillo,7.8,409
561,23160,8.719,Werckmeister Harmonies,7.8,265
562,11049,15.702,Interstella 5555,7.8,352
563,113,16.002,"Spring, Summer, Fall, Winter... and Spring",7.8,917
564,545611,79.297,Everything Everywhere All at Once,7.8,4588
565,16859,34.822,Kiki's Delivery Service,7.8,3378
566,16804,10.198,Departures,7.8,701
567,887,12.385,The Best Years of Our Lives,7.8,528
